code,name,type,category_name,qty,price_rent,price_sell,purchase_price,color,size,lifetime_gap,status,vendor_id,main_image,notes,is_active
I-50[40],INDO-50 [40],rent,INDOWESTERN,1,,,,GULABI,40,3,available,,,LALABHAI VADU,TRUE
I-51[42],INDO-51 [42],rent,INDOWESTERN,1,,,,GULABI,42,3,available,,,MIRAR,TRUE
I-52[34],INDO-52 [34],rent,INDOWESTERN,1,,,,PICH,34,3,available,,,LAKHNAVI KASAB WORK,TRUE
I-53[40],INDO-53 [40],rent,INDOWESTERN,1,,,,MARUN ,40,3,available,,,LAKHNAVI MIRAR WORK,TRUE
I-54[44],INDO-54 [44],rent,INDOWESTERN,1,,,,WHITE,44,3,available,,,LAKHNAVI BARI TUCHUP,TRUE
I-55[40],INDO-55 ]40],rent,INDOWESTERN,1,,,,,40,3,available,,,VELVET BLUE WHITE DAMAN,TRUE
I-56[36],INDO-56 [36],rent,INDOWESTERN,1,,,,WHITE,36,3,available,,,MOTA HATHI GHODA VADU,TRUE
I-57[42],INDO-57 [42],rent,INDOWESTERN,1,,,,JAMBALI,42,3,available,,,VELVET MULTI 3 FUL VADU,TRUE
I-58[34],INDO-58 [34],rent,INDOWESTERN,1,,,,WHITE,34,3,available,,,VELVET MULTI WORK,TRUE
I-59[38],INDO-59 [38],rent,INDOWESTERN,1,,,,WHITE,38,3,available,,,PINK PISTA PANDDI VADU,TRUE
I-60[34],INDO-60 [34],rent,INDOWESTERN,1,,,,WHITE,34,3,available,,,HEVI HATHI MOTI TUCHUP,TRUE
I-61[36],INDO-61 [36],rent,INDOWESTERN,1,,,,WHITE,36,3,available,,,LAKHNAVI SAME BOTUN SAME FEBRIC,TRUE
I-62[40],INDO-62 [40],rent,INDOWESTERN,1,,,,PISTA,40,3,available,,,ANIMAL HARAN GHODA JORJET,TRUE
I-63[38],INDO-63 [38],rent,INDOWESTERN,1,,,,WHITE,38,3,available,,,LAKHNAVI MULTI ASFUN NEW,TRUE
I-64[34],INDO-64 [34],rent,INDOWESTERN,1,,,,RAMA,34,3,available,,,PENT VADU,TRUE
I-65[36],INDO-65 [36],rent,INDOWESTERN,1,,,,RAMA,36,3,available,,,DUBLE COLOR SED,TRUE
I-66[34],INDO-66 [34],rent,INDOWESTERN,1,,,,SKY,34,3,available,,,DUBLE COLOR SED,TRUE
I-67[38],INDO-67 [38],rent,INDOWESTERN,1,,,,WHITE,38,3,available,,,HATHI SIMBOL NICHE HATHI WORK,TRUE
I-68[40],INDO-68 [40],rent,INDOWESTERN,1,,,,PICH,40,3,available,,,ANIMAL MOTA FLOWER PRINT,TRUE
