code,name,type,category_name,qty,price_rent,price_sell,purchase_price,color,size,lifetime_gap,status,vendor_id,main_image,notes,is_active
O-225[40],ANARKALI O-225 [40],rent,ANARKALI ,1,,,,WHITE,40,3,available,,,BUTTA VADI,TRUE
O-226[34],ANARKALI O-226 [34],rent,ANARKALI ,1,,,,WHITE,34,3,available,,,BUTTA VADI,TRUE
O-227[38],ANARKALI O-227 [38],rent,ANARKALI ,1,,,,WHITE,38,3,available,,,BUTTA VADI,TRUE
O-228[34],ANARKALI O-228 [34],rent,ANARKALI ,1,,,,WHITE,34,3,available,,,BUTTA VADI,TRUE
O-229[40],ANARKALI O-229 [40],rent,ANARKALI ,1,,,,WHITE,40,3,available,,,BUTTA VADI,TRUE
O-230[44],ANARKALI O-230 [44],rent,ANARKALI ,1,,,,WHITE,44,3,available,,,BUTTA VADI,TRUE
O-231[36],ANARKALI O-231 [36],rent,ANARKALI ,1,,,,WHITE,36,3,available,,,BUTTA VADI,TRUE
O-232[40],ANARKALI O-232 [40],rent,ANARKALI ,1,,,,WHITE,40,3,available,,,BUTTA VADI,TRUE
O-233[44],ANARKALI O-233 [44],rent,ANARKALI ,1,,,,WHITE,44,3,available,,,BUTTA VADI,TRUE
O-234[36],ANARKALI O-234 [36],rent,ANARKALI ,1,,,,WHITE,36,3,available,,,BUTTA VADI,TRUE
O-235[34],ANARKALI O-235 [34],rent,ANARKALI ,1,,,,WHITE,34,3,available,,,BUTTA VADI,TRUE
O-236[36],ANARKALI O-236 [36],rent,ANARKALI ,1,,,,WHITE,36,3,available,,,BUTTA VADI,TRUE
O-237,ANARKALI O-237,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-238[38],ANARKALI O-238 [38],rent,ANARKALI ,1,,,,WHITE,38,3,available,,,BUTTA VADI,TRUE
O-239[38],ANARKALI O-239 [38],rent,ANARKALI ,1,,,,WHITE,38,3,available,,,BUTTA VADI,TRUE
O-240[34],ANARKALI O-240 [34],rent,ANARKALI ,1,,,,WHITE,34,3,available,,,BUTTA VADI,TRUE
O-241,ANARKALI O-241,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-242,ANARKALI O-242,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-243[40],ANARKALI O-243 [40],rent,ANARKALI ,1,,,,WHITE,40,3,available,,,BUTTA VADI,TRUE
O-244,ANARKALI O-244,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-245,ANARKALI O-245,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-246,ANARKALI O-246,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-247,ANARKALI O-247,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-248[40],ANARKALI O-248 [40],rent,ANARKALI ,1,,,,WHITE,40,3,available,,,BUTTA VADI,TRUE
O-249,ANARKALI O-249,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-250,ANARKALI O-250,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-251,ANARKALI O-251,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-252,ANARKALI O-252,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-253[38],ANARKALI O-253 [38],rent,ANARKALI ,1,,,,WHITE,38,3,available,,,BUTTA VADI,TRUE
O-254,ANARKALI O-254,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-255[38],ANARKALI O-255 [38],rent,ANARKALI ,1,,,,WHITE,38,3,available,,,BUTTA VADI,TRUE
O-256[38],ANARKALI O-256 [38],rent,ANARKALI ,1,,,,WHITE,38,3,available,,,BUTTA VADI,TRUE
O-257[34],ANARKALI O-257 [34],rent,ANARKALI ,1,,,,WHITE,34,3,available,,,BUTTA VADI,TRUE
O-258[40],ANARKALI O-258 [40],rent,ANARKALI ,1,,,,WHITE,40,3,available,,,BUTTA VADI,TRUE
O-259[36],ANARKALI O-259 [36],rent,ANARKALI ,1,,,,WHITE,36,3,available,,,BUTTA VADI,TRUE
O-260,ANARKALI O-260,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-261[40],ANARKALI O-261 [40],rent,ANARKALI ,1,,,,WHITE,40,3,available,,,BUTTA VADI,TRUE
O-262,ANARKALI O-262,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-263,ANARKALI O-263,rent,ANARKALI ,1,,,,WHITE,,3,available,,,BUTTA VADI,TRUE
O-264[38],ANARKALI O-264 [38],rent,ANARKALI ,1,,,,WHITE,38,3,available,,,BUTTA VADI,TRUE
O-265[38],ANARKALI O-265 [38],rent,ANARKALI ,1,,,,WHITE,38,3,available,,,BUTTA VADI,TRUE
O-266[36],ANARKALI O-266 [36],rent,ANARKALI ,1,,,,WHITE,36,3,available,,,BUTTA VADI,TRUE
O-267[36],ANARKALI O-267 [36],rent,ANARKALI ,1,,,,WHITE,36,3,available,,,BUTTA VADI,TRUE
O-268[36],ANARKALI O-268 [36],rent,ANARKALI ,1,,,,WHITE,36,3,available,,,BUTTA VADI,TRUE
