code,name,type,category_name,qty,price_rent,price_sell,purchase_price,color,size,lifetime_gap,status,vendor_id,main_image,notes,is_active
H-71[34],ACHAKAN H-71 [34],rent,ANGARAKHU-ACHAKAN,1,3000,,,WHITE,34,3,available,,,VEL PRINT ,TRUE
H-72[40],ANGARAKHU H-72 [40],rent,ANGARAKHU-ACHAKAN,1,7000,,,MAROON ,40,3,available,,,MAROON BUTTA,TRUE
H-73[46],ACHAKAN H-73 [46],rent,ANGARAKHU-ACHAKAN,1,3000,,,,46,3,available,,,HATHI+MOR VADU,TRUE
H-74[36],ANGARAKHU H-74 [36],rent,ANGARAKHU-ACHAKAN,1,7000,,,PURPLE,36,3,available,,,VELVET KAT GALAVADU NICHE HATHI,TRUE
H-75[34],ANGARAKHU H-75 [34],rent,ANGARAKHU-ACHAKAN,1,7000,,,PURPLE,34,3,available,,,FALSA VELVET PANCH VADU,TRUE
H-76[34],ACHAKAN H-76 [34],rent,ANGARAKHU-ACHAKAN,1,3000,,,PINK,34,3,available,,,JINI FLOWER,TRUE
H-77[38],ACHAKAN H-77 [38],rent,ANGARAKHU-ACHAKAN,1,3000,,,WHITE,38,3,available,,,JINI FLOWER PRINT VEL,TRUE
H-78[38],ANGARAKHU H-78 [38],rent,ANGARAKHU-ACHAKAN,1,7000,,,MAROON,38,3,available,,,VELVET WHITE VARGHODA PANCH NICHE HATHI,TRUE
H-79[38],ANGARAKHU H-79 [38],rent,ANGARAKHU-ACHAKAN,1,7000,,,MAROON,38,3,available,,,CROSS PATTERN DORIVADU GOLDEN WORK +WHITE,TRUE
H-80[36],ANGARAKHU H-80 [36],rent,ANGARAKHU-ACHAKAN,1,7000,,,PINK,36,3,available,,,HATHI VADU,TRUE
H-81[38],ACHAKAN H-81 [38],rent,ANGARAKHU-ACHAKAN,1,3000,,,PICH ,38,3,available,,,MAROON TAPKI PRINT MOTI,TRUE
H-82[34],ANGARAKHU H-82 [34],rent,ANGARAKHU-ACHAKAN,1,7000,,,PINK,34,3,available,,,VELEVT HATHI VADU,TRUE
H-83[44],ACHAKAN H-83 [44],rent,ANGARAKHU-ACHAKAN,1,3000,,,PICH ,44,3,available,,,KERI FLOWER,TRUE
H-84[34],ANGARAKHU H-84 [34],rent,ANGARAKHU-ACHAKAN,1,7000,,,MAROON,34,3,available,,,WHITE PANCHVARGHODA NICHE BUTTA,TRUE
H-85[46],ACHAKAN H-85 [46],rent,ANGARAKHU-ACHAKAN,1,3000,,,PINK,46,3,available,,,MOTI DESING,TRUE
H-86[38],ACHAKAN H-86 [38],rent,ANGARAKHU-ACHAKAN,1,3000,,,ORANGE,38,3,available,,,BUTTA PRINT,TRUE
H-87[40],ACHAKAN H-87 [40],rent,ANGARAKHU-ACHAKAN,1,3000,,,CREAM,40,3,available,,,MAROON TAPKI VADU,TRUE
H-88[34],ACHAKAN H-88 [34],rent,ANGARAKHU-ACHAKAN,1,3000,,,ORANGE,34,3,available,,, GOLDEN PRINT RAMA TAPKI,TRUE
H-89[38],ANGARAKHU H-89 [38],rent,ANGARAKHU-ACHAKAN,1,7000,,,PINK,38,3,available,,,VELVET HATHI VADU,TRUE
H-90[42],ANGARAKHU H-90 [42],rent,ANGARAKHU-ACHAKAN,1,7000,,,MAROON,42,3,available,,,CROSS DORIVADU,TRUE
H-91[40],ANGARAKHU H-91 [40],rent,ANGARAKHU-ACHAKAN,1,7000,,,MAROON,40,3,available,,,CROSS DORIVADU,TRUE
H-92[34],ACHAKAN H-92 [34],rent,ANGARAKHU-ACHAKAN,1,3000,,,PICH ,34,3,available,,,MOTA WITE FLOWER,TRUE
H-93[36],ACHAKAN H-93 [36],rent,ANGARAKHU-ACHAKAN,1,3000,,,RANI GULABI,36,3,available,,,FUL+PANDADI VADU ,TRUE
H-94[36],ACHAKAN H-94 [36],rent,ANGARAKHU-ACHAKAN,1,3000,,,PICH ,36,3,available,,,MULTI MOTA WHITE FLOWER,TRUE
H-95[44],ACHAKAN H-95 [44],rent,ANGARAKHU-ACHAKAN,1,3000,,,WHITE,44,3,available,,,VEL PRINT ,TRUE
H-96[40],ANGARAKHU H-96  [40],rent,ANGARAKHU-ACHAKAN,1,7000,,,PINK,40,3,available,,,VELVET HATHIVADU ,TRUE
H-97[38],ACHAKAN H-97 [38],rent,ANGARAKHU-ACHAKAN,1,3000,,,RANI GULABI ,38,3,available,,,GOLDAN MOTI DESING ORANGE TAPKI,TRUE
H-98[34],ANGARAKHU H-98 [34],rent,ANGARAKHU-ACHAKAN,1,7000,,,MAROON,34,3,available,,,MAROON DORI VADU CROSS PATTERN,TRUE
H-99[38],ACHAKAN H-99 [38],rent,ANGARAKHU-ACHAKAN,1,3000,,,PISTA,38,3,available,,,PISTA FUL PRINT,TRUE
H-100[34],ACHAKAN H-100 [34],rent,ANGARAKHU-ACHAKAN,1,3000,,,PINK,34,3,available,,,GOLDEN PRINT RANI+GREEN TAPKI,TRUE
H-101[42],ACHAKAN H-101 [42],rent,ANGARAKHU-ACHAKAN,1,3000,,,PICH ,42,3,available,,,GOLDEN BUTTI VADU,TRUE
H-102[32],ACHAKAN H-102 [32],rent,ANGARAKHU-ACHAKAN,1,3000,,,RANI GULABI,32,3,available,,,MOTI PRINT,TRUE
H-103[36],ANGARAKHU H-103 [36],rent,ANGARAKHU-ACHAKAN,1,11000,,,CREAM,36,3,available,,,CROSS PATTERN TISHYU,TRUE
H-104,ACHAKAN H-104,rent,ANGARAKHU-ACHAKAN,1,,,,,,,available,,,,TRUE
H-105[32],ACHAKAN H-105 [32],rent,ANGARAKHU-ACHAKAN,1,3000,,,RANI GULABI,32,3,available,,,GOLDEN MOTA FLOWER,TRUE
H-106[46],ACHAKAN H-106 [46],rent,ANGARAKHU-ACHAKAN,1,3000,,,WHITE,46,3,available,,,VEL PRINT,TRUE
H-107[38],ANGARAKHU H-107 [38],rent,ANGARAKHU-ACHAKAN,1,7000,,,MAROON,38,3,available,,,KAT GALA VADU HATHI,TRUE
H-108[34],ANGARAKHU H-108 [34],rent,ANGARAKHU-ACHAKAN,1,7000,,,MAROON,34,3,available,,,CROSS PATTERN NICHE HATHI ,TRUE
H-109[42],ANGARAKHU H-109 [42],rent,ANGARAKHU-ACHAKAN,1,7000,,,MAROON,42,3,available,,,VELVET CROSS PATTERN FUDADI PANCH NICHE HATHI,TRUE
H-110[42],ANGARAKHU H-110 [42],rent,ANGARAKHU-ACHAKAN,1,7000,,,PINK,42,3,available,,,VELVET HATHI VADU ,TRUE
H-111[42],ACHAKAN H-111 [42],rent,ANGARAKHU-ACHAKAN,1,3000,,,PICH ,42,3,available,,,GOLDEN JINI FUL PRINT,TRUE
H-112[34],ACHAKAN H-112 [34],rent,ANGARAKHU-ACHAKAN,1,3000,,,WHITE ,34,3,available,,,JINI PRINT,TRUE
H-113[34],ANGARAKHU H-113 [34],rent,ANGARAKHU-ACHAKAN,1,7000,,,PINK,34,3,available,,,VELVET HATHI VADU ,TRUE
H-114[34],ANGARAKHU H-114  [34],rent,ANGARAKHU-ACHAKAN,1,7000,,,MAROON,34,3,available,,,VELVET CROSS GALU FUDADI WORK NICHE HATHI,TRUE
H-115[36],ANGARAKHU H-115 [36],rent,ANGARAKHU-ACHAKAN,1,7000,,,GREEN,36,3,available,,,HATHI VADU,TRUE
H-116[34],ANGARAKHU H-116 [34],rent,ANGARAKHU-ACHAKAN,1,7000,,,MAROON,34,3,available,,,CROSS PATTERN GALE FUDADI WORK NICHE HATHI,TRUE
H-117[40],ACHAKAN H-117 [40],rent,ANGARAKHU-ACHAKAN,1,3000,,,,40,3,available,,,,TRUE
H-118[38],ANGARAKHU H-118 [38],rent,ANGARAKHU-ACHAKAN,1,7000,,,MAROON,38,3,available,,,PANCH BUTTI&NICHE HATHI DORI VADU CROSS,TRUE
H-119[34],ANGARAKHU H-119 [34],rent,ANGARAKHU-ACHAKAN,1,7000,,,PINK,34,3,available,,,VELVET HATHI VADU ,TRUE
H-120[36],ACHAKAN H-120 [36],rent,ANGARAKHU-ACHAKAN,1,3000,,,PICH ,36,3,available,,,FLOWER PRINT,TRUE
H-121[42],ACHAKAN H-121 [42],rent,ANGARAKHU-ACHAKAN,1,3000,,,RANI GULABI,42,3,available,,,FLOWER PRINT,TRUE
H-122[34],ACHAKAN H-122 [34],rent,ANGARAKHU-ACHAKAN,1,3000,,,WHITE ,34,3,available,,,JINI VEL PRINT,TRUE
H-123[36],ACHAKAN H-123 [36],rent,ANGARAKHU-ACHAKAN,1,3000,,,RANI GULABI ,36,3,available,,,GOLDEN FLOWER PRINT,TRUE
H-124[36],ACHAKAN H-124 [36],rent,ANGARAKHU-ACHAKAN,1,3000,,,PISTA ,36,3,available,,,GOLDEN BUTTI VADU,TRUE
H-125[38],ACHAKAN H-125 [38],rent,ANGARAKHU-ACHAKAN,1,3000,,,RANI GULABI,38,3,available,,,FLOWER PRINT,TRUE
H-126[38],ACHAKAN H-126 [38],rent,ANGARAKHU-ACHAKAN,1,3000,,,WHITE,38,3,available,,,JINI VEL PRINT,TRUE
H-127[36],ANGARAKHU H-127 [36],rent,ANGARAKHU-ACHAKAN,1,7000,,,MAROON,36,3,available,,,VELVET LAL HATHI NICHE BUTT,TRUE
H-128[40],ACHAKAN H-128 [40],rent,ANGARAKHU-ACHAKAN,1,3000,,,PICH ,40,3,available,,,FLOWER PRINT,TRUE
H-129[36],ANGARAKHU H-129 [36],rent,ANGARAKHU-ACHAKAN,1,7000,,,MAROON ,36,3,available,,,VELVET CROSS DORIVADU NICHE HATHI VADU ,TRUE
H-130[40],ACHAKAN H-130 [40],rent,ANGARAKHU-ACHAKAN,1,3000,,,ORANGE,40,3,available,,,FLOWER PRINT,TRUE
H-131[40],ACHAKAN H-131 [40],rent,ANGARAKHU-ACHAKAN,1,3000,,,GOLDEN,40,3,available,,,MOTA FLOWER FULDANI,TRUE
H-132[36],ACHAKAN H-132 [36],rent,ANGARAKHU-ACHAKAN,1,3000,,,PICH ,36,3,available,,,GOLDEN BUTTI VADU,TRUE
H-133[40],ACHAKAN H-133 [40],rent,ANGARAKHU-ACHAKAN,1,3000,,,RANI GULABI ,40,3,available,,,FLOWER PRINT,TRUE
H-134[40],ACHAKAN H-134 [40],rent,ANGARAKHU-ACHAKAN,1,3000,,,RANI GULABI,40,3,available,,,FLOWER PRINT,TRUE
