code,name,type,category_name,qty,price_rent,price_sell,purchase_price,color,size,lifetime_gap,status,vendor_id,main_image,notes,is_active
S-1367[36],JODHPURI COAT S-1367 [36],rent,JODHPURI COAT,1,,,,GREY ,36,3,available,,,VELVET HATHI MOR WORK,TRUE
S-1368[38],JODHPURI COAT S-1368 [38],rent,JODHPURI COAT,1,,,,BLUE,38,3,available,,,VELVET HATHI WORK,TRUE
S-1369[40],JODHPURI COAT S-1369 [40],rent,JODHPURI COAT,1,,,,GREY,40,3,available,,,SURYA SIMBOL,TRUE
S-1370[44],JODHPURI COAT S-1370 [44],rent,JODHPURI COAT,1,,,,PICH,44,3,available,,,FLOWER RUTURAJ,TRUE
S-1371[42],JODHPURI COAT S-1371 [42],rent,JODHPURI COAT,1,,,,MULTI,42,3,available,,,KINGKHAB,TRUE
S-1372[36],JODHPURI COAT S-1372 [36],rent,JODHPURI COAT,1,,,,GULABI,36,3,available,,,PRINT VADU,TRUE
S-1373[42],JODHPURI COAT S-1373 [42],rent,JODHPURI COAT,1,,,,,42,3,available,,,MONOPOLI,TRUE
S-1374[42],JODHPURI COAT S-1374 [42],rent,JODHPURI COAT,1,,,,,42,3,available,,,ANIMAL HATHI MOR,TRUE
S-1375[32],JODHPURI COAT S-1375 [32],rent,JODHPURI COAT,1,,,,NEVI BLUE,32,3,available,,,WORK VADU,TRUE
S-1376[44],JODHPURI COAT S-1376 [44],rent,JODHPURI COAT,1,,,,WHITE,44,3,available,,,ANIMAL HATHI MOR,TRUE
S-1377[42],JODHPURI COAT S-1377 [42],rent,JODHPURI COAT,1,,,,WHITE,42,3,available,,,SURYA SIMBOL,TRUE
S-1378[36],JODHPURI COAT S-1378 [36],rent,JODHPURI COAT,1,,,,GREEN,36,3,available,,,MULTI PRINT,TRUE
S-1379[42],JODHPURI COAT S-1379 [42],rent,JODHPURI COAT,1,,,,RAMA,42,3,available,,,MULTI PRINT,TRUE
S-1380[44],JODHPURI COAT S-1380 [44],rent,JODHPURI COAT,1,,,,,44,3,available,,,ANIMAL HATHI MOR,TRUE
S-1381[36],JODHPURI COAT S-1381 [36],rent,JODHPURI COAT,1,,,,WHITE,36,3,available,,,ANIMAL GHODA HARAN,TRUE
S-1382[36],JODHPURI COAT S-1382 [36],rent,JODHPURI COAT,1,,,,BLUE,36,3,available,,,VELVET DAMAN WORK,TRUE
S-1383[40],JODHPURI COAT S-1383 [40],rent,JODHPURI COAT,1,,,,WHITE,40,3,available,,,SIMBOL NEW,TRUE
S-1384[38],JODHPURI COAT S-1384 [38],rent,JODHPURI COAT,1,,,,PISHTA,38,3,available,,,ANIMAL GHODA HARAN,TRUE
S-1385[42],JODHPURI COAT S-1385 [42],rent,JODHPURI COAT,1,,,,GULABI,42,3,available,,,MULTI RUTURAJ ,TRUE
S-1386[34],JODHPURI COAT S-1386 [34],rent,JODHPURI COAT,1,,,,RINGANI,34,3,available,,,FULL VEL PRINT TIKI WORK,TRUE
S-1387[34],JODHPURI COAT S-1387 [34],rent,JODHPURI COAT,1,,,,,34,3,available,,,ANIMAL PRINTED,TRUE
S-1388[50],JODHPURI COAT S-1388 [50],rent,JODHPURI COAT,1,,,,PISHTA,50,3,available,,,SURYA SIMBOL,TRUE
S-1389[42],JODHPURI COAT S-1389 [42],rent,JODHPURI COAT,1,,,,GULABI,42,3,available,,,VELVET RAA LOGO,TRUE
S-1390[38],JODHPURI COAT S-1390 [38],rent,JODHPURI COAT,1,,,,WHITE,38,3,available,,,HATHI VADU,TRUE
S-1391[36],JODHPURI COAT S-1391 [36],rent,JODHPURI COAT,1,,,,MULTI,36,3,available,,,MONOPOLI,TRUE
S-1392[38],JODHPURI COAT S-1392 [38],rent,JODHPURI COAT,1,,,,GREEN,38,3,available,,,GHAR DESIGN GOLDEN PRINT ,TRUE
S-1393[36],JODHPURI COAT S-1393 [36],rent,JODHPURI COAT,1,,,,PICH,36,3,available,,,KOTI PATERN MULTI,TRUE
S-1394[36],JODHPURI COAT S-1394 [36],rent,JODHPURI COAT,1,,,,WHITE,36,3,available,,,SURYA SIMBOL,TRUE
S-1395[34],JODHPURI COAT S-1395 [34],rent,JODHPURI COAT,1,,,,GREEN,34,3,available,,,FLOWER PRINT MARUN TUCHUP,TRUE
S-1396[36],JODHPURI COAT S-1396 [36],rent,JODHPURI COAT,1,,,,JYUT,36,3,available,,,HATHI VADU,TRUE
S-1397[34],JODHPURI COAT S-1397 [34],rent,JODHPURI COAT,1,,,,JYUT,34,3,available,,,SINH VADU,TRUE
S-1398[34],JODHPURI COAT S-1398 [34],rent,JODHPURI COAT,1,,,,FALSA,34,3,available,,,AMRODARI SINH WORK NICHE PATTA,TRUE
