code,name,type,category_name,qty,price_rent,price_sell,purchase_price,color,size,lifetime_gap,status,vendor_id,main_image,notes,is_active
J-737[36],JODHPURI-737[36],rent,JODHPURI,1,3500,,,CREAM,36,1,available,,,CREAM JYUT GHODA AMBRODARI,TRUE
J-738[36],JODHPURI-738[36],rent,JODHPURI,1,2500,,,BLUE,36,1,available,,,BLUE AMBRODARI,TRUE
J-739[34],JODHPURI-739[34],rent,JODHPURI,1,2500,,,BLUE,34,1,available,,,BLUE AMBRODARI,TRUE
J-740[44],JODHPURI-740[44],rent,JODHPURI,1,1100,,,BLACK,44,1,available,,,BLACK PLANE,TRUE
J-741[36],JODHPURI-741[36],rent,JODHPURI,1,3500,,,CREAM,36,1,available,,,CREAM JYUT SINH AMBRODARI,TRUE
J-742[34],JODHPURI-742[34],rent,JODHPURI,1,2500,,,GULABI,34,1,available,,,GULABI AMBRODARI,TRUE
J-743[36],JODHPURI-743[36],rent,JODHPURI,1,3500,,,CREAM,36,1,available,,,CREAM JYUT GHODA AMBRODARI,TRUE
J-744[40],JODHPURI-744[40],rent,JODHPURI,1,2500,,,GULABI,40,1,available,,,GULABI VELVET SIMBOL,TRUE
J-745[42],JODHPURI-745[42],rent,JODHPURI,1,2500,,,PISTA,42,1,available,,,PISTA FULVALU,TRUE
J-746[40],JODHPURI-746[40],rent,JODHPURI,1,2000,,,PISTA,40,1,available,,,PISTA PRINTED,TRUE
J-747[38],JODHPURI-747[38],rent,JODHPURI,1,2000,,,CREAM ,38,1,available,,,CREAM KINKHAB,TRUE
`],JODHPURI-748[38],rent,JODHPURI,1,2000,,,PISTA,38,1,available,,,PISTA PRINTED,TRUE
J-749[38],JODHPURI-749[38],rent,JODHPURI,1,2000,,,GULABI,38,1,available,,,GULABI FULVALU,TRUE
J-750[38],JODHPURI-750[38],rent,JODHPURI,1,1800,,,MARUN,38,1,available,,,MARUN SIMBOL,TRUE
J-751[40],JODHPURI-751[40],rent,JODHPURI,1,2000,,,GULABI,40,1,available,,,GULABI KINKHAB,TRUE
J-752[42],JODHPURI-752[42],rent,JODHPURI,1,2000,,,PISTA,42,1,available,,,PISTA KINKHAB,TRUE
J-753[34],JODHPURI-753[34],rent,JODHPURI,1,2500,,,PURPLE,34,1,available,,,PURPLE VELVET HATHI,TRUE
J-754[36],JODHPURI-754[36],rent,JODHPURI,1,1100,,,COFI,36,1,available,,,COFI BLEZER,TRUE
J-755[40],JODHPURI-755[40],rent,JODHPURI,1,2000,,,PISTA,40,1,available,,,PISTA KINKHAB,TRUE
J-756[40],JODHPURI-756[40],rent,JODHPURI,1,2500,,,BLUE,40,1,available,,,BLUE HATHI SIMBOL,TRUE
J-757[34],JODHPURI-757[34],rent,JODHPURI,1,2000,,,PISTA,34,1,available,,,PISTA KINKHAB,TRUE
J-758[38],JODHPURI-758[38],rent,JODHPURI,1,2500,,,GULABI,38,1,available,,,GULABI HATHI SIMBOL,TRUE
J-759[40],JODHPURI-759[40],rent,JODHPURI,1,2500,,,GOLDEN,40,1,available,,,GOLDEN CAMEL SIMBOL,TRUE
J-760[34],JODHPURI-760[34],rent,JODHPURI,1,2000,,,PISTA,34,1,available,,,PISTA FULVALU,TRUE
J-761[36],JODHPURI-761[36],rent,JODHPURI,1,2500,,,WHITE,36,1,available,,,WHITE HATHI SIMBOL,TRUE
J-762[38],JODHPURI-762[38],rent,JODHPURI,1,3500,,,CREAM,38,1,available,,,CREAM JYUT SINH AMBRODARI,TRUE
J-763[36],JODHPURI-763[36],rent,JODHPURI,1,2500,,,MARUN,36,1,available,,,MARUN VELVET HATHI SIMBOL,TRUE
J-764[36],JODHPURI-764[36],rent,JODHPURI,1,3500,,,PISTA,36,1,available,,,PISTA AMBRODARI,TRUE
J-765[38],JODHPURI-765[38],rent,JODHPURI,1,2500,,,GOLDEN,38,1,available,,,GOLDEN SIMBOL,TRUE
J-766[40],JODHPURI-766[40],rent,JODHPURI,1,5000,,,PISTA ,40,1,available,,,PISTA HENDWORK SIMBOL,TRUE
J-767[34],JODHPURI-767[34],rent,JODHPURI,1,2000,,,PISTA,34,1,available,,,PISTA KINKHAB,TRUE
J-768[36],JODHPURI-768[36],rent,JODHPURI,1,2500,,,PISTA,36,1,available,,,PISTA KINKHAB,TRUE
J-769[34],JODHPURI-769[34],rent,JODHPURI,1,3500,,,CREAM,34,1,available,,,CREAM JYUT SINH AMBRODARI,TRUE
J-770[40],JODHPURI-770[40],rent,JODHPURI,1,5000,,,CREAM,40,1,available,,,CREAM HATHI HENDWORK,TRUE
J-771[38],JODHPURI-771[38],rent,JODHPURI,1,2500,,,WHITE,38,1,available,,,WHITE HATHI SIMBOL,TRUE
J-772[38],JODHPURI-772[38],rent,JODHPURI,1,2500,,,BLUE,38,1,available,,,BLUE VELVET SIMBOL,TRUE
J-773[34],JODHPURI-773[34],rent,JODHPURI,1,2500,,,CREAM,34,1,available,,,LIGHT CREAM SIMBOL,TRUE
J-774[36],JODHPURI-774[36],rent,JODHPURI,1,2000,,,PICH,36,1,available,,,PICH FULVALU,TRUE
J-775[36],JODHPURI-775[36],rent,JODHPURI,1,2500,,,GOLDEN,36,1,available,,,GOLDEN CAMEL SIMBOL,TRUE
J-776[36],JODHPURI-776[36],rent,JODHPURI,1,2500,,,PURPLE,36,1,available,,,PURPLE SIMBOL,TRUE
