code,name,type,category_name,qty,price_rent,price_sell,purchase_price,color,size,lifetime_gap,status,vendor_id,main_image,notes,is_active
S-1214[34],SERVANI-1214[34],rent,SERVANI-INDOWESTERN,1,7000,,,WHITE,34,1,available,,,DIAMOND TACHAP BELTVALI,TRUE
S-1215[42],SERVANI-1215[42],rent,SERVANI-INDOWESTERN,1,7000,,,WHITE,42,1,available,,,DIAMOND TACHAP BELTVALI,TRUE
S-1216[40],INDOWESTERN-1216[40],rent,SERVANI-INDOWESTERN,1,4000,,,PURPLE,40,1,available,,,PURPLE MOR KOTTI,TRUE
S-1217[34],SERVANI-1217[34],rent,SERVANI-INDOWESTERN,1,7000,,,WHITE,34,1,available,,,DIAMOND TACHAP BELTVALI,TRUE
S-1218[34],INDOWESTERN-1218[34],rent,SERVANI-INDOWESTERN,1,4000,,,BLUE,34,1,available,,,BLUE MOR AMRODARY,TRUE
S-1219[36],INDOWESTERN-1219[36],rent,SERVANI-INDOWESTERN,1,4000,,,BLUE,36,1,available,,,BLUE MOR AMRODARY,TRUE
S-1220[42],SERVANI-1220[42],rent,SERVANI-INDOWESTERN,1,5000,,,PICH,42,1,available,,,PICH MORVALI,TRUE
S-1221[38],SERVANI-1221[38],rent,SERVANI-INDOWESTERN,1,5000,,,WHITE,38,1,available,,,WHITE MARUN TACHAP,TRUE
S-1223[40],INDOWESTERN-1223[40],rent,SERVANI-INDOWESTERN,1,4000,,,BLUE,40,1,available,,,BLUE MOR AMRODARY,TRUE
S-1224[40],SERVANI-1224[40],rent,SERVANI-INDOWESTERN,1,11000,,,CREAM,40,1,available,,,SEM DUPATTA PATTERN,TRUE
S-1225[34],SERVANI-1225[34],rent,SERVANI-INDOWESTERN,1,5000,,,PICH,34,1,available,,,CREAM PICH MORAVALI,TRUE
S-1226[38],SERVANI-1226[38],rent,SERVANI-INDOWESTERN,1,5000,,,PICH,38,1,available,,,CREAM PICH DIAMOND TACHAP,TRUE
S-1227[36],INDOWESTERN-1227[36],rent,SERVANI-INDOWESTERN,1,4000,,,PURPLE,36,1,available,,,PURPLE MOR KOTTI,TRUE
S-1228[34],INDOWESTERN-1228[34],rent,SERVANI-INDOWESTERN,1,4000,,,PURPLE,34,1,available,,,PURPLE MOR KOTTI,TRUE
S-1229[38],INDOWESTERN-1229[38],rent,SERVANI-INDOWESTERN,1,4000,,,PURPLE,38,1,available,,,PURPLE MOR KOTTI,TRUE
S-1230[36],INDOWESTERN-1230[36],rent,SERVANI-INDOWESTERN,1,5000,,,CREAM,36,1,available,,,CREAM AMRODARY KOTTI PATERN,TRUE
S-1231[36],INDOWESTERN-1231[36],rent,SERVANI-INDOWESTERN,1,3500,,,RAMA,36,1,available,,,RAMA COLOUR KOTTI ,TRUE
S-1232[34],SERVANI-1232[34],rent,SERVANI-INDOWESTERN,1,5000,,,CREAM,34,1,available,,,CREAM ANIMAL,TRUE
S-1233[36],INDOWESTERN-1233[36],rent,SERVANI-INDOWESTERN,1,4000,,,PICH,36,1,available,,,PICH HATHI KOTTI,TRUE
S-1234[36],INDOWESTERN-1234[36],rent,SERVANI-INDOWESTERN,1,3500,,,PISTA,36,1,available,,,DARK PISTA AMRODARY KOTTI,TRUE
S-1235[32],INDOWESTERN-1235[32],rent,SERVANI-INDOWESTERN,1,4000,,,BLUE,32,1,available,,,BLUE MOR AMRODARY,TRUE
S-1236[44],INDOWESTERN-1236[44],rent,SERVANI-INDOWESTERN,1,4000,,,BLUE,44,1,available,,,BLUE MOR AMRODARY,TRUE
S-1237[40],SERVANI-1237[40],rent,SERVANI-INDOWESTERN,1,5000,,,CREAM,40,1,available,,,CREAM MORVALI,TRUE
S-1238[40],INDOWESTERN-1238[40],rent,SERVANI-INDOWESTERN,1,4000,,,PURPLE,40,1,available,,,PURPLE MOR KOTTI,TRUE
S-1239[32],INDOWESTERN-1239[32],rent,SERVANI-INDOWESTERN,1,4000,,,CREAM,32,1,available,,,CREAM KOTTI PATERN,TRUE
S-1240[36],SERVANI-1240[36],rent,SERVANI-INDOWESTERN,1,11000,,,CREAM,36,1,available,,,GOLDEN SAME DUPATTA HEAVY,TRUE
S-1241[38],INDOWESTERN-1241[38],rent,SERVANI-INDOWESTERN,1,5000,,,WHITE,38,1,available,,,WHITE GREEN AMRODARY,TRUE
S-1242[40],INDOWESTERN-1242[40],rent,SERVANI-INDOWESTERN,1,5000,,,CREAM,40,1,available,,,CREAM MORVALI,TRUE
S-1243[38],INDOWESTERN-1243[38],rent,SERVANI-INDOWESTERN,1,5000,,,CREAM,38,1,available,,,CREAM MORVALI,TRUE
S-1244[40],INDOWESTERN-1244[40],rent,SERVANI-INDOWESTERN,1,5000,,,WHITE,40,1,available,,,WHITE GREEN AMRODARY,TRUE
S-1245[40],INDOWESTERN-1245[40],rent,SERVANI-INDOWESTERN,1,5000,,,CREAM,40,1,available,,,PICH ANIMAL,TRUE
S-1246[36],INDOWESTERN-1246[36],rent,SERVANI-INDOWESTERN,1,4000,,,BLUE,36,1,available,,,BLUE MOR AMRODARY,TRUE
S-1247[36],SERVANI-1247[36],rent,SERVANI-INDOWESTERN,1,5000,,,WHITE,36,1,available,,,OFF WHITE MORVALI,TRUE
S-1248[36],SERVANI-1248[36],rent,SERVANI-INDOWESTERN,1,11000,,,CREAM,36,1,available,,,CREAM SAME DUPATTA VALI,TRUE
