Product Name,Product Code,Category Name,Type (rent/sell),Color,Size,Rent Price,Sell Price,Discount %,Rental Gap (Max Times),Design Details,Image Filename,Status
SERVANI-1167[36],,SERVANI,RENT,PICH,36,5000,,,1,CREAM PICH MOR AMRODARY,,AVAILABLE
SERVANI-1168[40],,SERVANI,RENT,WHITE,40,7000,,,1,DOUBLE KOTTI PATERN BELTVALI,,AVAILABLE
SERVANI-1169[34],,SERVANI,RENT,WHITE,34,5000,,,1,WHITE GULABI TACHAP,,AVAILABLE
SERVANI-1170[36],,SERVANI,RENT,CREAM,36,5000,,,1,CREAM MARUN AMRODARY,,AVAILABLE
INDOWESTERN-1171[34],,INDOWESTERN,RENT,BLUE,34,3500,,,1,BLUE AMRODARY KOTTI PATERN,,AVAILABLE
INDOWESTERN-1172[34],,INDOWESTERN,RENT,PURPLE,34,3500,,,1,PURPLE KOTTI PATERN,,AVAILABLE
SERVANI-1173[36],,SERVANI,RENT,WHITE,36,7000,,,1,DOUBLE KOTTI PATERN BELTVALI,,AVAILABLE
SERVANI-1174[38],,SERVANI,RENT,CREAM,38,5000,,,1,CREAM MORVALI,,AVAILABLE
SERVANI-1175[40],,SERVANI,RENT,CREAM,40,5000,,,1,CREAM MORVALI,,AVAILABLE
SERVANI-1176[36],,SERVANI,RENT,CREAM,36,5000,,,1,CREAM PICH MORAVALI,,AVAILABLE
SERVANI-1177[36],,SERVANI,RENT,CREAM,36,5000,,,1,CREAM MARUN AMRODARY,,AVAILABLE
SERVANI-1178[36],,SERVANI,RENT,CREAM,36,5000,,,1,CREAM MORVALI,,AVAILABLE
INDOWESTERN-1179[36],,INDOWESTERN,RENT,CREAM,36,5000,,,1,JYUT ANIMAL,,AVAILABLE
SERVANI-180[38],,SERVANI,RENT,CREAM,38,5000,,,1,CREAM MARUN HATHI VALI,,AVAILABLE
INDOWESTERN-1181[38],,INDOWESTERN,RENT,CREAM,38,5000,,,1,JYUT ANIMAL,,AVAILABLE
INDOWESTERN-1182[34],,INDOWESTERN,RENT,CREAM,34,5000,,,1,JYUT ANIMAL,,AVAILABLE
SERVANI-1183[34],,SERVANI,RENT,PICH,34,5000,,,1,CREAM PICH AMRODARY WORK,,AVAILABLE
SERVANI-1184[36],,SERVANI,RENT,PICH,36,7000,,,1,CREAM PICH HATHI VALI BELT VALI,,AVAILABLE
INDOWESTERN-1185[38],,INDOWESTERN,RENT,BLUE,38,3500,,,1,BLUE AMRODARY KOTTI PATERN,,AVAILABLE
SERVANI-1186[38],,SERVANI,RENT,WHITE,38,5000,,,1,WHITE GULABI HATHI,,AVAILABLE
SERVANI-1187[36],,SERVANI,RENT,CREAM,36,5000,,,1,CREAM PICH MORVALI,,AVAILABLE
SERVANI-1188[38],,SERVANI,RENT,WHITE,38,5000,,,1,WHITE MARUN,,AVAILABLE
INDOWESTERN-1189[42],,INDOWESTERN,RENT,PURPLE,42,4000,,,1,PURPLE MOR KOTTI,,AVAILABLE
INDOWESTERN-111190[34],,INDOWESTERN,RENT,PURPLE,34,4000,,,1,PURPLE MOR KOTTI,,AVAILABLE
INDOWESTERN-1191[38],,INDOWESTERN,RENT,PURPLE,38,4000,,,1,PURPLE MOR KOTTI,,AVAILABLE
INDOWESTERN-1192[40],,INDOWESTERN,RENT,BLUE,40,4000,,,1,BLUE MOR AMRODARY,,AVAILABLE
SERVANI-1193[36],,SERVANI,RENT,WHITE,36,5000,,,1,WHITE MARUN LAKHANAVI,,AVAILABLE
INDOWESTERN-1194[36],,INDOWESTERN,RENT,BLUE,36,4000,,,1,BLUE MOR AMRODARY,,AVAILABLE
SERVANI-1195[38],,SERVANI,RENT,WHITE,38,5000,,,1,WHITE HARANVALI,,AVAILABLE
INDOWESTERN-1196[38],,INDOWESTERN,RENT,CREAM,38,4000,,,1,CREAM KOTTI PATERN,,AVAILABLE
SERVANI-1197[40],,SERVANI,RENT,WHITE,40,5000,,,1,OFF WHITE MARUN HATHI AMRODARY,,AVAILABLE
SERVANI-1198[34],,SERVANI,RENT,MULTY,34,5000,,,1,MULTY BELT VALI,,AVAILABLE
INDOWESTERN-1199[36],,INDOWESTERN,RENT,BLUE,36,4000,,,1,BLUE MOR AMRODARY,,AVAILABLE
SERVANI-1200[36],,SERVANI,RENT,WHITE,36,5000,,,1,WHITE GULABI BELT VALI,,AVAILABLE
INDOWESTERN-1201[42],,INDOWESTERN,RENT,PURPLE,42,3500,,,1,PURPLE KOTTI PATERN,,AVAILABLE
INDOWESTERN-1202[38],,INDOWESTERN,RENT,PURPLE,38,3500,,,1,PURPLE KOTTI PATERN,,AVAILABLE
SERVANI-1203[36],,SERVANI,RENT,WHITE,36,5000,,,1,WHITE PICH HATHI AMRODARY,,AVAILABLE
INDOWESTERN-1204[38],,INDOWESTERN,RENT,BLUE,38,4000,,,1,BLUE MOR AMRODARY,,AVAILABLE
INDOWESTERN-1205[38],,INDOWESTERN,RENT,BLUE,38,4000,,,1,BLUE MOR AMRODARY,,AVAILABLE
INDOWESTERN-1206[36],,INDOWESTERN,RENT,PURPLE,36,4000,,,1,PURPLE MOR KOTTI,,AVAILABLE
SERVANI-1207[38,,SERVANI,RENT,CREAM,38,5000,,,1,CREAM MORVALI,,AVAILABLE
SERVANI-1208[34],,SERVANI,RENT,WHITE,34,5000,,,1,CREAM HARANVALI,,AVAILABLE
SERVANI-1209[34],,SERVANI,RENT,CREAM,34,5000,,,1,CREAM PICH JANVALI,,AVAILABLE
INDOWESTERN-1210[36],,INDOWESTERN,RENT,CREAM,36,5000,,,1,CREAM JYUT ANIMAL,,AVAILABLE
INDOWESTERN-1211[40],,INDOWESTERN,RENT,CREAM,40,5000,,,1,CREAM JYUT ANIMAL,,AVAILABLE
SERVANI-1212[36],,SERVANI,RENT,WHITE,36,5000,,,1,CREAM HARAN VALI,,AVAILABLE
SERVANI-1213[36],,SERVANI,RENT,WHITE,36,7000,,,1,WHITE HATHI DIAMOND TACHAP,,AVAILABLE
SERVANI-1214[34],,SERVANI,RENT,WHITE,34,7000,,,1,DIAMOND TACHAP BELTVALI,,AVAILABLE
SERVANI-1215[42],,SERVANI,RENT,WHITE,42,7000,,,1,DIAMOND TACHAP BELTVALI,,AVAILABLE
INDOWESTERN-1216[40],,INDOWESTERN,RENT,PURPLE,40,4000,,,1,PURPLE MOR KOTTI,,AVAILABLE
SERVANI-1217[34],,SERVANI,RENT,WHITE,34,7000,,,1,DIAMOND TACHAP BELTVALI,,AVAILABLE
INDOWESTERN-1218[34],,INDOWESTERN,RENT,BLUE,34,4000,,,1,BLUE MOR AMRODARY,,AVAILABLE
